Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
Paradoxe prada,74.2,Paradoxe,0,https://www.vinted.it/items/8276594346-paradoxe-prada?referrer=catalog,0,8276594346,Sold,28/02/2026 05:53:28,,https://images1.vinted.net/t/06_01399_1K4JRE8RKwbujo38MfBXR85H/310x430/1772252477.webp?s=96c24783eef8437ed72aa4eee55a553b5b267f76,6,1
Prada American Cup,604.45,Prada,41,https://www.vinted.it/items/8276592550-prada-american-cup?referrer=catalog,1,8276592550,Sold,28/02/2026 05:53:28,,https://images1.vinted.net/t/06_01293_T8Ct7PFhu7MWZg2BS9QizFnx/310x430/1772252041.webp?s=a71832ed84be53005d54df56b539081bb294c39d,6,1
Prada paradoxe,42.7,Prada,0,https://www.vinted.it/items/8276587931-prada-paradoxe?referrer=catalog,0,8276587931,Sold,28/02/2026 05:53:28,,https://images1.vinted.net/t/05_01b73_Pta7cpJ5ps7fU614XgVWxHWH/310x430/1772250905.webp?s=688500c6338bbbea170c59ed81709cf43709200e,6,1
Vestitino bimba,16.45,Agatha Ruiz de la Prada,9-12 mesi / 74 cm,https://www.vinted.it/items/8276651992-vestitino-bimba?referrer=catalog,1,8276651992,Sold,28/02/2026 07:10:12,,https://images1.vinted.net/t/06_010b3_mmg2Yuqvus7pNLZbfrym1YMJ/310x430/1772258714.webp?s=a42f31a9a4e3da3a623fd71c6c9d36ecc5aac614,7,1
Prada candy,14.35,Prada,0,https://www.vinted.it/items/8276639962-prada-candy?referrer=catalog,0,8276639962,Sold,28/02/2026 07:10:12,,https://images1.vinted.net/t/06_00482_8BVgTz59axjCXydunjFrFMjh/310x430/1772257979.webp?s=58ed7628b507bcba1ea87054f1a9f5f83e5fb06c,7,1
Paradoxe Prada,41.13,Prada,0,https://www.vinted.it/items/8276637628-paradoxe-prada?referrer=catalog,1,8276637628,Sold,28/02/2026 07:10:12,,https://images1.vinted.net/t/01_023dc_VDpYy9rCHkY4h9AQJ6n9wLfm/310x430/1772257818.webp?s=c35edf738e864ab485f7a8fc14363685b3c0e0d5,7,1
Bolso aghatha Ruiz de la prada,51.1,Agatha Ruiz de la Prada,0,https://www.vinted.it/items/8276627682-bolso-aghatha-ruiz-de-la-prada?referrer=catalog,0,8276627682,Sold,28/02/2026 07:10:12,,https://images1.vinted.net/t/05_0251b_vMS8vevxQXgCogVzru4Y16Ls/310x430/1772257021.webp?s=2bffa10d83698d3d616ef69b0cd9fac130fe0a97,7,1
Prada ocean luna rossa,95.2,Prada,0,https://www.vinted.it/items/8276626897-prada-ocean-luna-rossa?referrer=catalog,0,8276626897,Sold,28/02/2026 07:10:12,,https://images1.vinted.net/t/05_01ea7_NRQcVPsUoDNp2mPTtUGZYXE6/310x430/1772256956.webp?s=39d78984cb39e2c5685976808831aebadc178124,7,1
Bolso aghatha Ruiz de la prada,51.1,Agatha Ruiz de la Prada,0,https://www.vinted.it/items/8276626077-bolso-aghatha-ruiz-de-la-prada?referrer=catalog,1,8276626077,Sold,28/02/2026 07:10:12,,https://images1.vinted.net/t/06_01940_RBzMLqFub9g4mTbaqvmhFP7Q/310x430/1772256879.webp?s=1d2ec37517765397cfdd39520ab54560032bb66a,7,1
Top Agatha Ruiz de la Prada 14,13.3,Agatha Ruiz de la Prada,14 anni / 164 cm,https://www.vinted.it/items/8276608408-top-agatha-ruiz-de-la-prada-14?referrer=catalog,0,8276608408,Sold,28/02/2026 07:10:12,,https://images1.vinted.net/t/04_026c2_AL9BvMrBtUr35cM1SbzqUJUe/310x430/1772254940.webp?s=c2c723f9e632b38a59d6776da3a049bac4d9ba2f,7,1
Porte-feuille pour homme Prada,16.45,Kiabi,0,https://www.vinted.it/items/8276795348-porte-feuille-pour-homme-prada?referrer=catalog,0,8276795348,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/06_00a98_Ap4sfHb4zUTE4CN5FMVf62o2/310x430/1772263188.webp?s=0a5d06b5259ae1366ce019a0b99ab11f534ca50a,8,1
Prada Paradigme,63.7,Prada,0,https://www.vinted.it/items/8276783415-prada-paradigme?referrer=catalog,0,8276783415,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/06_00c86_8MefmVxVtdthCLRj5WjQMSJT/310x430/1772262940.webp?s=f754c48b0ae41367853debc3e2a2d56daeed81b9,8,1
Braune Prada-Handtasche. NEU !,21.7,Art,0,https://www.vinted.it/items/8276769479-braune-prada-handtasche-neu?referrer=catalog,0,8276769479,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/03_01a98_XnZzFPkJ7H8h5wbBhBm3UvqJ/310x430/1772262641.webp?s=e79d64efde98ca3f5e0603f63a847deadd7b5c1c,8,1
Parfum pour homme,21.7,Prada,0,https://www.vinted.it/items/8276743017-parfum-pour-homme-pradaeau-de-toilette?referrer=catalog,0,8276743017,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/06_00a08_4JMzL8FNMNpd21EJR9TuKD9r/310x430/1772262002.webp?s=0fec63c8037655d2f41a9a1bd08cd7935a086f52,8,1
Prada Slingback NO offerte,410.2,Prada,37.5,https://www.vinted.it/items/8276731980-prada-slingback-no-offerte?referrer=catalog,2,8276731980,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/03_01de1_4zRKscnE62J2wEnUqDKwBbyW/310x430/1772261719.webp?s=651ba49e88ddf92d564aa2ecc27b004150a6cba5,8,1
Scarpe prada,116.2,Prada,42,https://www.vinted.it/items/8276405938-scarpe-prada?referrer=catalog,0,8276405938,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/05_006fd_CZyaNKvoVdmC6EgisqNb95bm/310x430/1772234443.webp?s=f11923c4457b4105649de99520a477cfddc07efc,8,1
Prada Slingback NO offerte,399.7,Prada,36.5,https://www.vinted.it/items/8276700302-prada-slingback-no-offerte?referrer=catalog,1,8276700302,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/05_01b28_gGeMzLBpsZ3eX5i2dC6rWB32/310x430/1772260806.webp?s=ffb246010279b516796cb76edec1eefd8692580e,8,1
Blazer Prada principe di Galles,409.15,Prada,L / IT 44 / EU 40,https://www.vinted.it/items/8276695864-blazer-prada-principe-di-galles?referrer=catalog,4,8276695864,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/06_01dc9_pHMnXKTUs9fS1EjSeosSHKwm/310x430/1772260660.webp?s=1fc0e4c18c20923afc1eccb3221dc1600a8f00e7,8,1
Vestitino bimba con coulotte,21.7,Agatha Ruiz de la Prada,6-9 mesi / 68 cm,https://www.vinted.it/items/8276693688-vestitino-bimba-con-coulotte?referrer=catalog,0,8276693688,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/06_013d4_A4N8sDgveoDc1P5R4NaAvoeK/310x430/1772260583.webp?s=ba70ab78ddecba50aa4b17122c0853d4c4305e61,8,1
Parfum Prada Milano paradoxe intense,21.7,Prada,0,https://www.vinted.it/items/8276681984-parfum-prada-milano-paradoxe-intense?referrer=catalog,2,8276681984,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/01_010f4_cs6fACiYnnm59rn3FsGAoPZr/310x430/1772260147.webp?s=fd2038be598210b60c08fef07dd6b77e91e219fe,8,1
Prada Re-Nylon Puffer Jack Zwart – Maat 48 – Topstaat,1.275,Prada,S,https://www.vinted.it/items/8276679368-prada-re-nylon-puffer-jack-zwart-maat-48-topstaat?referrer=catalog,0,8276679368,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/05_01194_NRQssdvAG9EGMwXMsqoCjjWp/310x430/1772260399.webp?s=a7ef20c8945a9229004311d2614da17f4836826f,8,1
Vestitino bimba,16.45,Agatha Ruiz de la Prada,6-9 mesi / 68 cm,https://www.vinted.it/items/8276678992-vestitino-bimba?referrer=catalog,1,8276678992,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/04_00966_oADYpqHESDvr8BZFhJPxzDGi/310x430/1772260023.webp?s=9a56a763bcf98779433d11f8d62abeb4c1bf596c,8,1
Marken Shirt Prada Weiß,47.95,Sonstiges,XL,https://www.vinted.it/items/8248546218-marken-shirt-prada-weiss?referrer=catalog,0,8248546218,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/01_01cf7_qpKk5aLtJe3STAVS9jVYAbXf/310x430/1771913070.webp?s=3c777787ded9817d121fcd3a24b77ec1bdd3dbb4,8,1
EDP Prada Paradoxe Intense / Parfum femme,18.03,Prada,0,https://www.vinted.it/items/8276630876-edp-prada-paradoxe-intense-parfum-femme?referrer=catalog,2,8276630876,Sold,28/02/2026 08:21:50,,https://images1.vinted.net/t/05_01935_ez1DAT81N9XnP7f4FXixCBYi/310x430/1772257290.webp?s=d5a2f38ff4d70fab756f90d5c7e19379ad2b6979,8,1
Prada America's Cup,189.7,Prada,43,https://www.vinted.it/items/8284775393-prada-americas-cup?referrer=catalog,1,8284775393,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/04_00281_yoiJ5TLDFNcCJSFPf7dnBPsY/310x430/1772328450.webp?s=8bfd34929476ffb8debbe7de3d1a6fd91745a042,6,1
Prada paradoxe virtual flower,53.2,Prada,0,https://www.vinted.it/items/8284764887-prada-paradoxe-virtual-flower?referrer=catalog,0,8284764887,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/06_00295_CdRT8vSu5JyHcAPAYwuUYGDT/310x430/1772327332.webp?s=83f9a554ecbd7a41922a6efb59ae4f1be4df552b,6,1
Lunette de soleil prada,21.7,Prada,0,https://www.vinted.it/items/8284761914-lunette-de-soleil-prada?referrer=catalog,2,8284761914,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/06_00431_kJ1sDru2QsyuNCp9aTZFUHi1/310x430/1772327058.webp?s=5c2fb961d502f5114256c03ee96ed3fe98bae45c,6,1
Prada Stiefeletten Boho,525.7,Prada,39.5,https://www.vinted.it/items/8284003075-prada-stiefeletten-boho?referrer=catalog,0,8284003075,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/06_0111b_FYLaJnmJuUxDj95WzN5HGiLD/310x430/1772311368.webp?s=5bf7217c2272ce43ae619ba49b207033e801bea5,6,1
Vela prada infusión de vanille,31.15,Prada,0,https://www.vinted.it/items/8283923693-vela-prada-infusion-de-vanille?referrer=catalog,2,8283923693,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/01_005ba_h3SSsuLvL1cfqUoUnCgSWkmo/310x430/1772310580.webp?s=4166490211996126b8a124a1bd303606ce18abf8,6,1
Prada Sunglasses PR23YS,142.45,Prada,0,https://www.vinted.it/items/8283916736-prada-sunglasses-pr23ys?referrer=catalog,3,8283916736,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/03_00be4_KGWwNCFfWSYUVksJYcmeQsej/310x430/1772310513.webp?s=02a046398a33e39c1acaeea2abd83c3dba166e9d,6,1
Prada Milano Blazer Lana Vergine Made in Italy 48R Gessato Sartoriale,142.44,Prada,M,https://www.vinted.it/items/8283899513-prada-milano-blazer-lana-vergine-made-in-italy-48r-gessato-sartoriale?referrer=catalog,1,8283899513,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/06_005a3_eua88kUBeG4hyL3dNVuFmYkt/310x430/1772310349.webp?s=80339bd6fc2fd5e03384ec489c5696adb208c7c9,6,1
Nueva fragancia de Prada,62.65,Prada,0,https://www.vinted.it/items/8283896970-nueva-fragancia-de-prada?referrer=catalog,0,8283896970,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/06_0142c_WEc4HiL3fQxw7bnue91WE1uR/310x430/1772310325.webp?s=32bbbc4ab24e8ef2744b34519cc2a2ba78b7e639,6,1
Jupe Prada en laine vierge gris chiné – taille 38,315.7,Prada,M / IT 42 / EU 38,https://www.vinted.it/items/8283852022-jupe-prada-en-laine-vierge-gris-chine-taille-38?referrer=catalog,3,8283852022,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/06_00cf5_SvZnQiRY3dRAdDQvsmQxjE3n/310x430/1772309899.webp?s=63e6b431baa46bd5fa437f984484ed7214dce516,6,1
Prada,58.45,Prada,S / IT 40 / EU 36,https://www.vinted.it/items/8283847505-prada?referrer=catalog,2,8283847505,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/06_00836_j3bSLgV5roEEn58Crzmjo2NS/310x430/1772309857.webp?s=4ab0a7937e34960ea66d9415012020029d1c43e2,6,1
Prada porta fazzoletti o chiavi o altro,53.2,Prada,0,https://www.vinted.it/items/8283845571-prada-porta-fazzoletti-o-chiavi-o-altro?referrer=catalog,0,8283845571,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/04_00b5b_QJ8xBRWza7cAAb7QekiW553s/310x430/1772309839.webp?s=6e729108d9f5aa1fd12733745b5fa38610332a81,6,1
Étiquette prada,21.7,Prada,0,https://www.vinted.it/items/8283820687-etiquette-prada?referrer=catalog,0,8283820687,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/01_017cd_PEuDrFc9Pb5xTub4PxtDHXC8/310x430/1772309605.webp?s=a62bcc59d4aac3ac95f608e4fd24598bf8953c58,6,1
Mooi plateau prada sandaal,68.95,Prada,39.5,https://www.vinted.it/items/8283820287-mooi-plateau-prada-sandaal?referrer=catalog,18,8283820287,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/01_00a06_pY7CjiYY41GHRLzV2WG1TptW/310x430/1772309601.webp?s=e05e8cb5938ddb0f45a945b129e7fde5e0bc9c40,6,1
Prada paradoxe radical essence,36.4,Prada,0,https://www.vinted.it/items/8283817299-prada-paradoxe-radical-essence?referrer=catalog,6,8283817299,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/06_00c51_TptKAqAKHjv1m6bcbA1vb7zh/310x430/1772309575.webp?s=393841a5db7501a7c953438aacf4d0d9b49ccc5b,6,1
Prada t-Shirt💙,14.35,Sonstiges,M / IT 42 / EU 38,https://www.vinted.it/items/8283800847-prada-t-shirt?referrer=catalog,20,8283800847,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/06_00e49_gS3aiRLwtRzUF8gBjZwMphmC/310x430/1772309424.webp?s=85ce010d1de52e96448dd817479c58b1ee3349db,6,1
Paradigme,50.58,Prada,0,https://www.vinted.it/items/8283796083-paradigme?referrer=catalog,4,8283796083,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/05_01e38_kWzW9wkTaDu4AAwPkCd3tXTS/310x430/1772309379.webp?s=244c3259a19cff31b6afbe93b10db94ad5bdcc9a,6,1
Prada paradoxe,37.45,Prada,0,https://www.vinted.it/items/8283796102-prada-paradoxe?referrer=catalog,16,8283796102,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/01_00857_3SVg9r1jUMUe1xKQVqazUv2N/310x430/1772309380.webp?s=f2c8ca1826be7b26da109ec7cf2f558f4ad92e8e,6,1
Prada Cups,74.2,Schuh,44,https://www.vinted.it/items/8283789302-prada-cups?referrer=catalog,1,8283789302,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/04_011bd_Uet761LjMgrHhc3xNEFHUasa/310x430/1772309316.webp?s=c04f6fa9f80813262b73776004e51fd1ac0bd0df,6,1
Adidas x Prada,683.2,adidas,44,https://www.vinted.it/items/8283770164-adidas-x-prada?referrer=catalog,0,8283770164,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/05_012d5_RGUk9mvfNzpZbQYSE4jctiGj/310x430/1772309139.webp?s=aad042264f3147717b617007da689440d461df18,6,1
Prada Paradoxe 90ml,68.95,Prada,0,https://www.vinted.it/items/8283734247-prada-paradoxe-90ml?referrer=catalog,0,8283734247,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/06_00ec6_KU63pPkfL6rABqB2Xcv4Kejf/310x430/1772308806.webp?s=afa30cb09dca87fe2f1374e9abb0d94f0bac2699,6,1
Prada paradoxe intense 90ml,68.95,Prada,0,https://www.vinted.it/items/8283723249-prada-paradoxe-intense-90ml?referrer=catalog,3,8283723249,Sold,01/03/2026 02:50:55,,https://images1.vinted.net/t/05_00eac_V5itdryZyTVoPLCBcZiCX9Av/310x430/1772308707.webp?s=ff6d3ad300fcb9256939e5e51ab7b43d46fa5ace,6,1
